origin_iata_code,dest_iata_code,distance_km,flight_time_minutes,is_active
VTE,KTI,714.23,78,1
LPQ,SAI,757.51,81,1
PKZ,SAI,258.1,47,1
VTE,SAI,541.21,66,1
PKZ,CAN,1209.94,111,1
VTE,CAN,1267.78,115,1
VTE,KMG,793.31,83,1
VTE,NNG,778.92,82,1
VTE,PVG,2428.2,192,1
VTE,SWA,1575.43,135,1
VTE,SZX,1281.42,115,1
VTE,TSN,2751.51,213,1
ICN,KMG,2611.89,204,1
BKK,KMG,1288.9,116,1
HAN,KMG,522.63,65,1
HAN,PEK,2333.17,186,1
SAI,LPQ,757.51,81,1
SAI,PKZ,258.1,47,1
SAI,VTE,541.21,66,1
CAN,PKZ,1209.94,111,1
CAN,VTE,1267.78,115,1
KMG,VTE,793.31,83,1
NNG,VTE,778.92,82,1
PVG,VTE,2428.2,192,1
VTE,BOR,365.22,58,1
LXG,LPQ,147.34,40,1
PKZ,LPQ,653.66,74,1
VTE,LPQ,217.86,45,1
XKH,LPQ,115.06,38,1
ZVK,LPQ,462.09,61,1
LPQ,LXG,147.34,40,1
PKZ,LXG,800.08,83,1
VTE,LXG,360.82,54,1
ZVK,LXG,608.48,71,1
LPQ,NEU,207.06,44,1
PKZ,NEU,614.77,71,1
VTE,NEU,314.07,51,1
NEU,VTE,314.07,51,1
LPQ,PKZ,653.66,74,1
LXG,PKZ,800.08,83,1
VTE,PKZ,465.78,61,1
XKH,PKZ,554.4,67,1
ZVK,PKZ,191.61,43,1
BOR,VTE,365.22,58,1
LPQ,VTE,217.86,45,1
LXG,VTE,360.82,54,1
PKZ,VTE,465.78,61,1
XKH,VTE,174.53,42,1
ZVK,VTE,281.61,49,1
LPQ,XKH,115.06,38,1
PKZ,XKH,554.4,67,1
VTE,XKH,174.53,42,1
ZVK,XKH,363.77,54,1
LPQ,ZVK,462.09,61,1
LXG,ZVK,608.48,71,1
PKZ,ZVK,191.61,43,1
VTE,ZVK,281.61,49,1
XKH,ZVK,363.77,54,1
ICN,LPQ,3052.83,234,1
ICN,VTE,3178.15,242,1
BKK,LPQ,706.01,77,1
CNX,LPQ,357.93,54,1
BKK,PKZ,564.87,68,1
BKK,VTE,514.25,64,1
CNX,VTE,389.94,56,1
BKK,XKH,688.71,76,1
BKK,ZVK,535.21,66,1
DAD,LPQ,768.39,81,1
HAN,LPQ,406.19,57,1
SGN,LPQ,1119.1,105,1
HAN,PKZ,675.84,75,1
SGN,PKZ,490.1,63,1
DAD,VTE,636.09,72,1
HAN,VTE,494.47,63,1
SGN,VTE,910.21,91,1
KMG,ICN,2611.89,204,1
LPQ,ICN,3052.83,234,1
VTE,ICN,3178.15,242,1
BKK,ICN,3665.87,274,1
KMG,BKK,1288.9,116,1
LPQ,BKK,706.01,77,1
PKZ,BKK,564.87,68,1
VTE,BKK,514.25,64,1
XKH,BKK,688.71,76,1
ZVK,BKK,535.21,66,1
LPQ,CNX,357.93,54,1
VTE,CNX,389.94,56,1
ICN,BKK,3665.87,274,1
DAD,BKK,842.54,86,1
HAN,BKK,992.93,96,1
HAN,CNX,764.03,81,1
KMG,HAN,522.63,65,1
TSN,HAN,2275.95,182,1
LPQ,DAD,768.39,81,1
VTE,DAD,636.09,72,1
LPQ,HAN,406.19,57,1
PKZ,HAN,675.84,75,1
VTE,HAN,494.47,63,1
LPQ,SGN,1119.1,105,1
PKZ,SGN,490.1,63,1
VTE,SGN,910.21,91,1
BKK,DAD,842.54,86,1
BKK,HAN,992.93,96,1
CNX,HAN,764.03,81,1
SWA,VTE,1575.43,135,1
