airport_iata_code,name
BKK,1
BKK,1C
BKK,2
BKK,2E
BKK,3
BKK,4
BKK,4S
BKK,5
BKK,6
BKK,7
BKK,8
BKK,9
BKK,A
BKK,D
BKK,I
BKK,IN
BKK,LL
BKK,M
BKK,MT
BOR,1
CAN,1
CAN,2
CAN,3
CNX,0
CNX,1
CNX,2
CNX,D
CNX,I
CNX,IC
CNX,LL
DAD,1
DAD,2
DAD,4
DAD,D
DAD,I
DAD,LL
HAN,1
HAN,2
HAN,3
HAN,4
HAN,5
HAN,A
HAN,D
HAN,I
HAN,LL
HAN,N
ICN,1
ICN,2
ICN,23
ICN,24
ICN,3
ICN,31
ICN,4
ICN,43
ICN,7
ICN,A
ICN,D
ICN,I
ICN,LL
ICN,MT
ICN,N
ICN,P1
ICN,P3
ICN,Q
KMG,1
KTI,1
KTI,2
KTI,3A
KTI,I
LPQ,1
LPQ,2
LXG,1
NEU,1
NNG,2
PEK,1
PEK,2
PEK,3
PKZ,I
PVG,1
PVG,2
SAI,1
SAI,DO
SAI,I
SAI,IN
SGN,0
SGN,1
SGN,2
SGN,3
SGN,4
SGN,5
SGN,A
SGN,D
SGN,I
SGN,LL
SGN,M
SWA,1
SZX,3
TSN,1
TSN,2
VTE,1
VTE,D
VTE,I
XKH,1
ZVK,1
